type,time,ltype,ori,len1,len2,ini_angle,va,death_angle,exist,dead
laser,1,1,"1200,0","0.1,0.3","0.6,1.0",90,1,180,,
laser,3,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,5,3,"0,0","0.1,0.3","0.6,1.0",90,-1,0,,
laser,5.5,4,"0,800","0.1,0.3","0.6,1.0",-90,1,0,,
laser,7,4,"0,800","0.1,0.3","0.6,1.0",-90,1,0,,
laser,7.5,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,9,1,"1200,0","0.1,0.3","0.6,1.0",90,1,180,,
laser,9,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,10,3,"0,0","0.1,0.3","0.6,1.0",90,-1,0,,
laser,11,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,11,1,"1200,0","0.1,0.3","0.6,1.0",90,1,180,,
laser,15,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,16,3,"0,0","0.1,0.3","0.6,1.0",90,-1,0,,
laser,17,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,18,4,"0,800","0.1,0.3","0.6,1.0",-90,1,0,,
laser,21,1,"1200,0","0.1,0.3","0.6,1.0",90,1,180,,
laser,23,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,24,3,"0,0","0.1,0.3","0.6,1.0",90,-1,0,,
laser,22,4,"0,800","0.1,0.3","0.6,1.0",-90,1,0,,
laser,26,1,"1200,0","0.1,0.3","0.6,1.0",90,1,180,,
laser,28,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,30,3,"0,0","0.1,0.3","0.6,1.0",90,-1,0,,
laser,32,4,"0,800","0.1,0.3","0.6,1.0",-90,1,0,,
laser,34,1,"1200,0","0.1,0.3","0.6,1.0",90,1,180,,
laser,36,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,38,1,"1200,0","0.1,0.3","0.6,1.0",90,1,180,,
laser,40,2,"1200,800","0.1,0.3","0.6,1.0",-90,-1,-180,,
laser,43,3,"0,0","0.1,0.3","0.6,1.0",90,-1,0,,
laser,45,4,"0,800","0.1,0.3","0.6,1.0",-90,1,0,,
laser,47,4,"0,800","0.1,0.3","0.6,1.0",-90,1,0,,
laser,49,3,"0,0","0.1,0.3","0.6,1.0",90,-1,0,,
laser,51,1,"1200,0","0.1,0.3","0.6,1.0",90,1,180,,
